name	pMLST_scheme	pMLST
MVC223	IncF RST	F-:A-:B-
MVC224	IncF RST	F-:A-:B-
MVC225	IncF RST	F-:A-:B-
MVC227	IncF RST	F-:A-:B-
MVC234	IncF RST	F104:A-:B-
MVC239	IncF RST	F-:A-:B-
MVC243	IncF RST	F-:A-:B-
MVC249	IncF RST	F-:A-:B-
MVC251	IncF RST	F24:A-:B1
MVC252	IncF RST	F-:A-:B-
MVC253	IncF RST	F-:A-:B-
MVC254	IncF RST	F-:A-:B-
MVC255	IncF RST	F-:A1:B10
MVC256	IncF RST	F-:A6:B-
MVC257	IncF RST	F76:A-:B-
MVC262	IncF RST	F4:A-:B1
MVC263	IncF RST	F-:A-:B-
MVC266	IncF RST	F-:A-:B-
MVC269	IncF RST	F-:A-:B-
MVC270	IncF RST	F24:A-:B73
MVC272	IncF RST	F-:A-:B-
MVC274	IncF RST	F-:A-:B-
MVC275	IncF RST	F-:A-:B-
MVC276	IncF RST	F-:A-:B-
MVC277	IncF RST	F-:A-:B-
MVC278	IncF RST	F51:A-:B10
MVC279	IncF RST	F-:A-:B-
MVC27	IncF RST	F-:A-:B-
MVC282	IncF RST	F-:A-:B-
MVC284	IncF RST	F-:A-:B-
MVC285	IncF RST	F29:A-:B10
MVC286	IncF RST	F103:A-:B-
MVC287	IncF RST	F-:A-:B-
MVC292	IncF RST	F57:A-:B-
MVC295	IncF RST	F52:A-:B24
MVC296	IncF RST	F-:A-:B-
MVC297	IncF RST	F-:A-:B-
MVC298	IncF RST	F-:A-:B-
MVC299	IncF RST	F-:A-:B-
MVC29	IncF RST	F-:A-:B-
MVC300	IncF RST	F-:A-:B-
MVC301	IncF RST	F-:A-:B-
MVC302	IncF RST	F112:A-:B56
MVC304	IncF RST	F-:A-:B-
MVC306	IncF RST	F52:A-:B24
MVC307	IncF RST	C4:A-:B1
MVC308	IncF RST	C4:A-:B1
MVC309	IncF RST	F-:A-:B-
MVC30	IncF RST	F-:A-:B-
MVC312	IncF RST	F29:A-:B10
MVC313	IncF RST	F56:A-:B20
MVC315	IncF RST	F-:A-:B-
MVC316	IncF RST	F-:A-:B-
MVC317	IncF RST	F-:A-:B-
MVC31	IncF RST	F-:A-:B-
MVC321	IncF RST	F-:A-:B-
MVC324	IncF RST	F-:A-:B-
MVC325	IncF RST	F-:A-:B-
MVC327	IncF RST	F-:A-:B-
MVC328	IncF RST	C4:A-:B-
MVC329	IncF RST	F52:A-:B62
MVC32	IncF RST	F-:A-:B-
MVC330	IncF RST	F-:A-:B-
MVC331	IncF RST	F-:A-:B-
MVC339	IncF RST	F29:A-:B10
MVC33	IncF RST	F2:A-:B1
MVC340	IncF RST	F-:A-:B-
MVC343	IncF RST	F52:A-:B62
MVC346	IncF RST	F-:A-:B-
MVC347	IncF RST	F-:A-:B-
MVC349	IncF RST	F52:A-:B62
MVC352	IncF RST	F29:A-:B10
MVC356	IncF RST	F-:A-:B-
MVC359	IncF RST	F52:A-:B62
MVC35	IncF RST	F-:A-:B-
MVC360	IncF RST	F16:A-:B-
MVC364	IncF RST	F2:A-:B-
MVC365	IncF RST	F-:A-:B-
MVC366	IncF RST	F-:A-:B-
MVC367	IncF RST	F51:A-:B10
MVC368	IncF RST	F-:A1:B1
MVC369	IncF RST	C4:A-:B1
MVC370	IncF RST	C4:A-:B-
MVC374	IncF RST	F-:A-:B1
MVC376	IncF RST	F-:A-:B-
MVC378_P3	IncF RST	F-:A-:B-
MVC378_P5	IncF RST	F-:A-:B-
MVC380	IncF RST	F-:A-:B1
MVC381	IncF RST	F2:A-:B-
MVC382	IncF RST	F2:A-:B-
MVC386	IncF RST	F2:A-:B-
MVC387	IncF RST	F-:A-:B-
MVC388	IncF RST	F24:A-:B1
MVC390	IncF RST	F-:A-:B-
MVC391	IncF RST	F-:A-:B-
MVC392	IncF RST	F-:A-:B-
MVC393	IncF RST	F29:A-:B10
MVC401	IncF RST	F-:A-:B-
MVC404	IncF RST	C4:A-:B8
MVC405	IncF RST	F69:A2:B20
MVC407	IncF RST	F-:A-:B-
MVC408	IncF RST	C4:A-:B1
MVC410	IncF RST	F29:A-:B10
MVC411	IncF RST	F-:A-:B-
MVC412	IncF RST	F-:A-:B-
MVC413	IncF RST	F-:A-:B-
MVC414	IncF RST	F-:A-:B-
MVC415	IncF RST	F-:A-:B-
MVC416	IncF RST	F-:A-:B-
MVC417	IncF RST	F-:A-:B-
MVC420	IncF RST	F-:A-:B-
MVC421	IncF RST	F-:A-:B-
MVC422	IncF RST	F-:A-:B-
MVC423	IncF RST	F-:A-:B-
MVC424	IncF RST	F-:A-:B-
MVC426	IncF RST	F29:A-:B10
MVC427	IncF RST	F-:A-:B-
MVC428	IncF RST	F24:A-:B73
MVC42	IncF RST	C4:A6:B1
MVC431	IncF RST	F18:A-:B62
MVC434	IncF RST	F-:A-:B-
MVC435	IncF RST	F2:A-:B1
MVC437	IncF RST	F-:A-:B-
MVC438	IncF RST	F29:A-:B10
MVC439	IncF RST	F-:A-:B-
MVC441	IncF RST	F2:A-:B-
MVC445	IncF RST	F-:A6:B1
MVC446	IncF RST	F-:A-:B-
MVC447	IncF RST	F-:A-:B-
MVC448	IncF RST	F-:A-:B-
MVC450	IncF RST	F-:A-:B-
MVC452	IncF RST	F-:A-:B-
MVC454	IncF RST	F-:A-:B-
MVC456	IncF RST	F-:A-:B-
MVC458	IncF RST	F-:A-:B-
MVC459	IncF RST	F-:A-:B-
